"timeseries";"YEAR";"PEP_ID";"Species";"DoY.off_CDD";"DoY.off_TPM";"DoY.off_SIAM";"DoY.off_TPDM";"DoY.off_PIA_gsi";"DoY.off_PIA+";"GSL_CDD";"GSL_TPM";"GSL_SIAM";"GSL_TPDM";"GSL_PIA_gsi";"GSL_PIA+"
"1_Fagus sylvatica";2016;1;"Fagus sylvatica";285;285;273;282;296;281;165;165;153;162;176;161
"1_Fagus sylvatica";2017;1;"Fagus sylvatica";289;289;276;284;291;280;172;172;159;167;174;163
"1_Fagus sylvatica";2018;1;"Fagus sylvatica";286;286;273;283;282;266;175;175;162;172;171;155
"1_Fagus sylvatica";2019;1;"Fagus sylvatica";283;283;271;274;290;277;171;171;159;162;178;165
"1_Fagus sylvatica";2020;1;"Fagus sylvatica";296;297;282;287;278;268;183;184;169;174;165;155
"1_Fagus sylvatica";2021;1;"Fagus sylvatica";285;287;273;279;283;272;179;181;167;173;177;166
"1_Fagus sylvatica";2022;1;"Fagus sylvatica";292;292;276;283;289;276;178;178;162;169;175;162
"1_Fagus sylvatica";2023;1;"Fagus sylvatica";285;285;275;280;268;252;164;164;154;159;147;131
"1_Fagus sylvatica";2024;1;"Fagus sylvatica";297;298;281;286;288;278;182;183;166;171;173;163
"1_Fagus sylvatica";2025;1;"Fagus sylvatica";289;290;275;282;286;274;177;178;163;170;174;162
"1_Fagus sylvatica";2026;1;"Fagus sylvatica";295;296;280;284;282;271;181;182;166;170;168;157
"1_Fagus sylvatica";2027;1;"Fagus sylvatica";274;274;270;272;290;273;153;153;149;151;169;152
"1_Fagus sylvatica";2028;1;"Fagus sylvatica";292;292;277;284;259;248;176;176;161;168;143;132
"1_Fagus sylvatica";2029;1;"Fagus sylvatica";293;294;275;291;292;274;174;175;156;172;173;155
"1_Fagus sylvatica";2030;1;"Fagus sylvatica";296;296;278;287;301;288;175;175;157;166;180;167
"1_Fagus sylvatica";2031;1;"Fagus sylvatica";281;282;271;281;275;255;165;166;155;165;159;139
"1_Fagus sylvatica";2032;1;"Fagus sylvatica";298;299;276;290;288;271;191;192;169;183;181;164
"1_Fagus sylvatica";2033;1;"Fagus sylvatica";291;292;275;281;280;270;179;180;163;169;168;158
"1_Fagus sylvatica";2034;1;"Fagus sylvatica";283;284;273;276;291;279;170;171;160;163;178;166
"1_Fagus sylvatica";2035;1;"Fagus sylvatica";291;292;276;282;302;288;173;174;158;164;184;170
"1_Fagus sylvatica";2036;1;"Fagus sylvatica";288;289;274;278;283;271;178;179;164;168;173;161
"1_Fagus sylvatica";2037;1;"Fagus sylvatica";292;294;275;286;289;273;181;183;164;175;178;162
"1_Fagus sylvatica";2038;1;"Fagus sylvatica";288;288;276;279;294;281;173;173;161;164;179;166
"1_Fagus sylvatica";2039;1;"Fagus sylvatica";285;286;272;275;289;275;172;173;159;162;176;162
"1_Fagus sylvatica";2040;1;"Fagus sylvatica";298;298;279;294;297;284;178;178;159;174;177;164
"1_Fagus sylvatica";2041;1;"Fagus sylvatica";294;295;279;284;298;286;181;182;166;171;185;173
"1_Fagus sylvatica";2042;1;"Fagus sylvatica";294;295;278;283;299;288;172;173;156;161;177;166
"1_Fagus sylvatica";2043;1;"Fagus sylvatica";291;291;279;279;277;266;165;165;153;153;151;140
"1_Fagus sylvatica";2044;1;"Fagus sylvatica";292;292;276;285;293;282;180;180;164;173;181;170
"1_Fagus sylvatica";2045;1;"Fagus sylvatica";289;290;278;283;290;274;177;178;166;171;178;162
"1_Fagus sylvatica";2046;1;"Fagus sylvatica";288;289;279;280;282;267;166;167;157;158;160;145
"1_Fagus sylvatica";2047;1;"Fagus sylvatica";296;297;283;286;283;274;185;186;172;175;172;163
"1_Fagus sylvatica";2048;1;"Fagus sylvatica";294;294;280;283;269;257;180;180;166;169;155;143
"1_Fagus sylvatica";2049;1;"Fagus sylvatica";293;293;279;285;300;288;165;165;151;157;172;160
"1_Fagus sylvatica";2050;1;"Fagus sylvatica";293;294;278;281;292;280;177;178;162;165;176;164
"1_Fagus sylvatica";2051;1;"Fagus sylvatica";296;296;278;287;281;269;182;182;164;173;167;155
"1_Fagus sylvatica";2052;1;"Fagus sylvatica";293;293;276;286;281;268;186;186;169;179;174;161
"1_Fagus sylvatica";2053;1;"Fagus sylvatica";292;293;276;285;303;289;178;179;162;171;189;175
"1_Fagus sylvatica";2054;1;"Fagus sylvatica";286;286;274;278;296;281;169;169;157;161;179;164
"1_Fagus sylvatica";2055;1;"Fagus sylvatica";296;297;279;287;295;284;182;183;165;173;181;170
"1_Fagus sylvatica";2056;1;"Fagus sylvatica";297;298;282;290;287;277;182;183;167;175;172;162
"1_Fagus sylvatica";2057;1;"Fagus sylvatica";302;303;286;291;286;274;178;179;162;167;162;150
"1_Fagus sylvatica";2058;1;"Fagus sylvatica";303;304;284;293;1;1;193;194;174;183;-109;-109
"1_Fagus sylvatica";2059;1;"Fagus sylvatica";306;308;289;295;287;278;195;197;178;184;176;167
"1_Fagus sylvatica";2060;1;"Fagus sylvatica";295;295;278;285;278;257;183;183;166;173;166;145
"1_Fagus sylvatica";2061;1;"Fagus sylvatica";298;299;283;289;299;288;185;186;170;176;186;175
"1_Fagus sylvatica";2062;1;"Fagus sylvatica";306;307;284;297;295;285;198;199;176;189;187;177
"1_Fagus sylvatica";2063;1;"Fagus sylvatica";298;299;280;285;289;274;191;192;173;178;182;167
"1_Fagus sylvatica";2064;1;"Fagus sylvatica";303;304;283;292;1;1;192;193;172;181;-110;-110
"1_Fagus sylvatica";2065;1;"Fagus sylvatica";306;307;286;293;278;257;201;202;181;188;173;152
"1_Fagus sylvatica";2066;1;"Fagus sylvatica";293;294;279;283;290;280;182;183;168;172;179;169
"1_Fagus sylvatica";2067;1;"Fagus sylvatica";299;300;282;288;288;274;186;187;169;175;175;161
"1_Fagus sylvatica";2068;1;"Fagus sylvatica";295;296;278;286;291;279;186;187;169;177;182;170
"1_Fagus sylvatica";2069;1;"Fagus sylvatica";297;298;282;289;289;278;187;188;172;179;179;168
"1_Fagus sylvatica";2070;1;"Fagus sylvatica";303;305;285;292;285;276;196;198;178;185;178;169
"1_Fagus sylvatica";2071;1;"Fagus sylvatica";300;301;285;287;290;282;188;189;173;175;178;170
"1_Fagus sylvatica";2072;1;"Fagus sylvatica";294;295;288;282;291;281;186;187;180;174;183;173
"1_Fagus sylvatica";2073;1;"Fagus sylvatica";300;301;280;291;294;279;189;190;169;180;183;168
"1_Fagus sylvatica";2074;1;"Fagus sylvatica";296;296;276;289;306;292;175;175;155;168;185;171
"1_Fagus sylvatica";2075;1;"Fagus sylvatica";309;311;283;301;305;296;200;202;174;192;196;187
"1_Fagus sylvatica";2076;1;"Fagus sylvatica";306;307;283;297;305;293;196;197;173;187;195;183
"1_Fagus sylvatica";2077;1;"Fagus sylvatica";307;307;287;294;263;1;194;194;174;181;150;-112
"1_Fagus sylvatica";2078;1;"Fagus sylvatica";290;291;276;282;290;280;185;186;171;177;185;175
"1_Fagus sylvatica";2079;1;"Fagus sylvatica";295;296;278;284;295;283;180;181;163;169;180;168
"1_Fagus sylvatica";2080;1;"Fagus sylvatica";298;299;281;288;297;286;193;194;176;183;192;181
"1_Fagus sylvatica";2081;1;"Fagus sylvatica";305;307;288;294;293;286;192;194;175;181;180;173
"1_Fagus sylvatica";2082;1;"Fagus sylvatica";305;307;286;293;268;1;199;201;180;187;162;-105
"1_Fagus sylvatica";2083;1;"Fagus sylvatica";312;313;290;300;293;283;209;210;187;197;190;180
"1_Fagus sylvatica";2084;1;"Fagus sylvatica";300;301;285;289;294;284;186;187;171;175;180;170
"1_Fagus sylvatica";2085;1;"Fagus sylvatica";293;294;280;283;271;257;192;193;179;182;170;156
"1_Fagus sylvatica";2086;1;"Fagus sylvatica";295;296;281;284;300;288;185;186;171;174;190;178
"1_Fagus sylvatica";2087;1;"Fagus sylvatica";301;303;283;290;289;278;194;196;176;183;182;171
"1_Fagus sylvatica";2088;1;"Fagus sylvatica";298;298;279;285;298;284;189;189;170;176;189;175
"1_Fagus sylvatica";2089;1;"Fagus sylvatica";300;302;283;290;299;288;191;193;174;181;190;179
"1_Fagus sylvatica";2090;1;"Fagus sylvatica";302;304;288;291;268;1;195;197;181;184;161;-106
"1_Fagus sylvatica";2091;1;"Fagus sylvatica";313;314;298;301;259;1;206;207;191;194;152;-106
"1_Fagus sylvatica";2092;1;"Fagus sylvatica";295;295;281;283;292;281;187;187;173;175;184;173
"1_Fagus sylvatica";2093;1;"Fagus sylvatica";301;302;284;291;289;278;188;189;171;178;176;165
"1_Fagus sylvatica";2094;1;"Fagus sylvatica";294;295;282;285;293;283;184;185;172;175;183;173
"1_Fagus sylvatica";2095;1;"Fagus sylvatica";305;307;292;294;295;286;192;194;179;181;182;173
"1_Fagus sylvatica";2096;1;"Fagus sylvatica";303;305;286;292;1;1;199;201;182;188;-103;-103
"1_Fagus sylvatica";2097;1;"Fagus sylvatica";311;313;290;300;292;277;197;199;176;186;178;163
"1_Fagus sylvatica";2098;1;"Fagus sylvatica";317;318;290;306;311;301;205;206;178;194;199;189
"1_Fagus sylvatica";2099;1;"Fagus sylvatica";292;294;280;282;279;269;189;191;177;179;176;166
"1_Fagus sylvatica";2100;1;"Fagus sylvatica";303;305;288;292;282;274;199;201;184;188;178;170
"1_Quercus robur";2016;1;"Quercus robur";241;258;273;279;304;294;107;124;139;145;170;160
"1_Quercus robur";2017;1;"Quercus robur";241;266;275;286;302;292;99;124;133;144;160;150
"1_Quercus robur";2018;1;"Quercus robur";248;259;272;283;290;281;123;134;147;158;165;156
"1_Quercus robur";2019;1;"Quercus robur";254;259;271;280;303;293;134;139;151;160;183;173
"1_Quercus robur";2020;1;"Quercus robur";270;277;281;291;290;282;150;157;161;171;170;162
"1_Quercus robur";2021;1;"Quercus robur";263;265;273;280;294;285;155;157;165;172;186;177
"1_Quercus robur";2022;1;"Quercus robur";254;263;276;287;295;286;132;141;154;165;173;164
"1_Quercus robur";2023;1;"Quercus robur";256;266;274;278;284;276;126;136;144;148;154;146
"1_Quercus robur";2024;1;"Quercus robur";268;278;280;291;302;293;141;151;153;164;175;166
"1_Quercus robur";2025;1;"Quercus robur";262;269;274;282;301;291;137;144;149;157;176;166
"1_Quercus robur";2026;1;"Quercus robur";268;273;279;286;295;286;147;152;158;165;174;165
"1_Quercus robur";2027;1;"Quercus robur";239;257;269;275;310;299;98;116;128;134;169;158
"1_Quercus robur";2028;1;"Quercus robur";260;270;276;282;280;271;128;138;144;150;148;139
"1_Quercus robur";2029;1;"Quercus robur";260;273;274;288;309;300;128;141;142;156;177;168
"1_Quercus robur";2030;1;"Quercus robur";261;274;278;291;316;306;125;138;142;155;180;170
